#-------------------------------------------------------------------------------
#
#
#           ********************************************************
#           *                                                      *
#           *    Full-Potential Multiple Scattering Theory Based   *
#           *                                                      *
#           *  Ab Initio Electronic Structure Calculation Package  *
#           *                                                      *
#           ********************************************************
#
#
#   username                 : ywg
#   system name              : dxcgpu02.psc.edu
#   code compiled            : Tuesday, May 16 2017 22:25:28
#-------------------------------------------------------------------------------
# Potential Type          : Full-Potential
# Green function    : Integration along real energy axis for single scattering
#                     Integration along complex energy contour for multiple scattering
# Single Site Solver: Full-Potential
#                     Regular solution is calculated using truncated potential
#                     S and C are calculated using bounding sphere method
# MST Method        : LSMS
# Spin Parameter    : Non-Collinear -  3
# Number of Atoms         :      1
# Bravais Lattice Vector  :
#         2.65000000   2.65000000  -2.65000000
#         2.65000000  -2.65000000   2.65000000
#        -2.65000000   2.65000000   2.65000000
# Energy Offset           :   -2522
# Column Legend :    31
#         1. Type
#         2. Index
#         3. Position-X
#         4. Position-Y
#         5. Position-Z
#         6. Force-X
#         7. Force-Y
#         8. Force-Z
#         9. EvecIn-X
#        10. EvecIn-Y
#        11. EvecIn-Z
#        12. EvecOut-X
#        13. EvecOut-Y
#        14. EvecOut-Z
#        15. Bcon-X
#        16. Bcon-Y
#        17. Bcon-Z
#        18. Volume - MT
#        19. Volume - VP
#        20. LIZ Size
#        21. Energy
#        22. Exc_energy
#        23. Pressure
#        24. Charge-MT
#        25. Charge-VP
#        26. Moment-MT
#        27. Moment-VP
#        28. RMS-Charge
#        29. RMS-Potential
#        30. RMS-Evec
#        31. RMS-Bcon
#-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Type  Indx      X          Y          Z       Force-X    Force-Y    Force-Z    EvecIn-X   EvecIn-Y   EvecIn-Z  EvecOut-X  EvecOut-Y  EvecOut-Z    Bcon-X     Bcon-Y     Bcon-Z     Vol-MT     Vol-VP   LIZ  Energy           Exch_energy      Pressure      Charge-MT  Charge-VP   Moment-MT  Moment-VP RMS-Rho   RMS-Pot  RMS-Evec  RMS-Bcon 
#-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# ****************************************************
# SCF Iteration:    2
# ****************************************************
 Fe        2   2.650000   2.650000   2.650000   0.000000   0.000000   0.000000   0.577350   0.577350   0.577350   0.577350   0.577350   0.577350  -0.000000  -0.000000   0.000000  50.631189  74.438500   88 -0.846707768E+00   0.158556  0.722798710E-02  24.992297  24.992296   2.248055   2.224262  0.29E-05  0.32E-03  0.52E-15  0.52E-15
# ****************************************************
# SCF Iteration:   15
# ****************************************************
 Fe        1   0.000000   0.000000   0.000000  -0.000000  -0.000000  -0.000000   0.577350   0.577350   0.577350   0.577350   0.577350   0.577350  -0.000000  -0.000000   0.000000  50.631189  74.438500   88 -0.846664716E+00   0.160705 -0.906252545E-01  24.990385  24.990384   2.263236   2.238909  0.36E-04  0.16E-04  0.71E-15  0.71E-15
 Fe        2   2.650000   2.650000   2.650000   0.000000   0.000000   0.000000   0.577350   0.577350   0.577350   0.577350   0.577350   0.577350  -0.000000  -0.000000   0.000000  50.631189  74.438500   88 -0.846664741E+00   0.160705 -0.906262227E-01  24.990385  24.990384   2.263236   2.238909  0.36E-04  0.16E-04  0.64E-15  0.68E-15
# ****************************************************
# SCF Iteration:   20
# ****************************************************
 Fe        1   0.000000   0.000000   0.000000  -0.000000  -0.000000  -0.000000   0.577350   0.577350   0.577350   0.577350   0.577350   0.577350  -0.000000  -0.000000   0.000000  50.631189  74.438500   88 -0.846653197E+00   0.160738 -0.935782047E-01  24.990318  24.990317   2.265566   2.241183  0.20E-07  0.32E-05  0.27E-15  0.27E-15
 Fe        2   2.650000   2.650000   2.650000   0.000000   0.000000   0.000000   0.577350   0.577350   0.577350   0.577350   0.577350   0.577350  -0.000000  -0.000000   0.000000  50.631189  74.438500   88 -0.846653197E+00   0.160738 -0.935783063E-01  24.990318  24.990317   2.265565   2.241183  0.20E-07  0.32E-05  0.73E-15  0.77E-15
# ****************************************************
# SCF Iteration:   25
# ****************************************************
 Fe        1   0.000000   0.000000   0.000000  -0.000000  -0.000000  -0.000000   0.577350   0.577350   0.577350   0.577350   0.577350   0.577350  -0.000000  -0.000000   0.000000  50.631189  74.438500   88 -0.846650099E+00   0.160741 -0.941795443E-01  24.990302  24.990301   2.266220   2.241821  0.11E-06  0.40E-07  0.19E-15  0.31E-15
